iter	RMSE
540	0.2616271759
541	0.261526465
542	0.2614130698
543	0.2613217936
544	0.261252899
545	0.2611141271
546	0.261046815
547	0.2609953989
548	0.2608989137
549	0.2608022988
550	0.2606332756
551	0.2604114333
552	0.2603063167
553	0.260189924
554	0.2600084403
555	0.2598273024
556	0.2597200131
557	0.2595865962
558	0.2594437452
559	0.2592511121
560	0.2591646639
561	0.2590701365
562	0.2589961083
563	0.2588046654
564	0.2587016054
565	0.2585786239
566	0.2584868254
567	0.2583933543
568	0.2581934766
569	0.2580323368
570	0.2579625708
571	0.2578762957
572	0.2577038369
573	0.2576398926
574	0.2574540783
575	0.2573468487
576	0.2571799558
577	0.2570384591
578	0.2569449774
579	0.2568487203
580	0.2567325008
581	0.2565572092
582	0.2563740785
583	0.2562945246
584	0.2562128483
585	0.2561383665
586	0.2560047309
587	0.2559264936
588	0.2558100977
589	0.2557439763
590	0.2556127561
591	0.2555470441
592	0.2554432779
593	0.2552340029
594	0.2551568306
595	0.2549685044
596	0.2548544668
597	0.2547340499
598	0.2546236658
599	0.2544859927
600	0.2543898144
601	0.2542888337
602	0.2541863824
603	0.2541056832
604	0.2539908937
605	0.2538885641
606	0.2537775065
607	0.2537220008
608	0.2536200917
609	0.2535168712
610	0.2533472906
611	0.2532653906
612	0.2531328956
613	0.2529602593
614	0.2528931296
615	0.2527433896
616	0.25267507
617	0.2525166728
618	0.252363313
619	0.2522938926
620	0.2522000217
621	0.2520585515
622	0.2519579972
623	0.251873097
624	0.2517664762
625	0.2516834165
626	0.2515161635
627	0.2514208903
628	0.2513640931
629	0.2512888352
630	0.2511900352
631	0.2510784645
632	0.2509547587
633	0.2507910934
634	0.2507163846
635	0.2505644516
636	0.2504612074
637	0.2504022476
638	0.2502410081
639	0.2500996537
640	0.2500187904
641	0.2498982325
642	0.2497159957
643	0.2496109353
644	0.2493730148
645	0.2491211022
646	0.2490035375
647	0.2489134309
648	0.2487162181
649	0.2486449881
650	0.2485649133
651	0.2484495228
652	0.2482546312
653	0.2481308986
654	0.248041264
655	0.2479234577
656	0.247769001
657	0.2476758284
658	0.247547745
659	0.247466409
660	0.2473399227
661	0.2472214228
662	0.247144089
663	0.2470833997
664	0.246867476
665	0.2467582299
666	0.2466835146
667	0.2465597886
668	0.2464175692
669	0.2463483592
670	0.2462878785
671	0.2461454672
672	0.2460762735
673	0.2459975357
674	0.2458087568
675	0.2456945785
676	0.2456285436
677	0.2455323611
678	0.2454741034
679	0.2454042302
680	0.2453222539
681	0.2452101938
682	0.2450831079
683	0.2450147674
684	0.2449475828
685	0.2448654042
