iter	Passed	Remaining
732	10781	3927
733	10799	3913
734	10823	3902
735	10841	3888
736	10859	3875
737	10885	3864
738	10905	3851
739	10921	3837
740	10945	3825
741	10961	3811
742	10988	3800
743	11001	3785
744	11013	3769
745	11028	3754
746	11044	3740
747	11055	3724
748	11073	3710
749	11086	3695
750	11100	3680
751	11115	3665
752	11126	3649
753	11139	3634
754	11152	3619
755	11171	3605
756	11186	3590
757	11202	3576
758	11217	3561
759	11233	3547
760	11248	3532
761	11264	3518
762	11276	3502
763	11291	3488
764	11306	3473
765	11324	3459
766	11340	3444
767	11352	3429
768	11364	3413
769	11376	3398
770	11391	3383
771	11404	3368
772	11419	3353
773	11432	3338
774	11448	3323
775	11464	3309
776	11482	3295
777	11494	3279
778	11510	3265
779	11523	3250
780	11536	3234
781	11547	3219
782	11559	3203
783	11570	3187
784	11582	3172
785	11596	3157
786	11610	3142
787	11622	3126
788	11633	3111
789	11644	3095
790	11657	3080
791	11673	3065
792	11692	3052
793	11707	3037
794	11726	3023
795	11742	3009
796	11756	2994
797	11771	2979
798	11787	2965
799	11800	2950
800	11815	2935
801	11833	2921
802	11850	2907
803	11866	2892
804	11880	2877
805	11893	2862
806	11907	2847
807	11919	2832
808	11933	2817
809	11943	2801
810	11955	2786
811	11967	2770
812	11982	2756
813	12000	2742
814	12015	2727
815	12028	2712
816	12040	2696
817	12051	2681
818	12065	2666
819	12077	2651
820	12095	2637
821	12109	2622
822	12122	2607
823	12139	2592
824	12152	2577
825	12166	2562
826	12177	2547
827	12192	2532
828	12207	2517
829	12219	2502
830	12231	2487
831	12246	2472
832	12258	2457
833	12269	2442
834	12284	2427
835	12298	2412
836	12313	2398
837	12328	2383
838	12343	2368
839	12356	2353
840	12366	2338
841	12381	2323
842	12392	2307
843	12403	2292
844	12414	2277
845	12426	2262
846	12440	2247
847	12454	2232
848	12470	2217
849	12484	2203
850	12496	2187
851	12507	2172
852	12517	2157
853	12528	2141
854	12538	2126
855	12547	2110
856	12556	2095
857	12567	2079
858	12577	2064
859	12587	2049
860	12598	2033
861	12607	2018
862	12617	2002
863	12628	1987
864	12639	1972
865	12650	1957
866	12663	1942
867	12676	1927
868	12688	1912
869	12703	1898
870	12717	1883
871	12734	1869
872	12748	1854
873	12763	1840
874	12780	1825
875	12794	1811
876	12808	1796
877	12821	1781
878	12834	1766
