iter	Passed	Remaining
318	1123	2397
319	1126	2393
320	1129	2389
321	1132	2383
322	1134	2378
323	1136	2372
324	1139	2366
325	1142	2362
326	1146	2359
327	1149	2355
328	1153	2352
329	1157	2349
330	1160	2345
331	1163	2341
332	1166	2336
333	1168	2330
334	1172	2326
335	1174	2321
336	1177	2316
337	1180	2311
338	1183	2306
339	1185	2302
340	1187	2295
341	1190	2290
342	1192	2283
343	1194	2278
344	1197	2273
345	1203	2274
346	1205	2267
347	1206	2261
348	1209	2256
349	1212	2252
350	1216	2249
351	1219	2245
352	1222	2240
353	1225	2236
354	1228	2232
355	1232	2229
356	1235	2225
357	1238	2221
358	1242	2217
359	1245	2214
360	1247	2207
361	1250	2204
362	1253	2200
363	1256	2196
364	1260	2192
365	1263	2188
366	1266	2183
367	1269	2179
368	1271	2175
369	1275	2171
370	1278	2166
371	1280	2162
372	1283	2157
373	1286	2153
374	1289	2148
375	1292	2144
376	1294	2139
377	1297	2134
378	1300	2130
379	1303	2126
380	1305	2121
381	1308	2116
382	1311	2112
383	1313	2107
384	1316	2102
385	1319	2098
386	1322	2094
387	1325	2090
388	1328	2086
389	1331	2081
390	1333	2077
391	1337	2074
392	1340	2069
393	1342	2065
394	1345	2061
395	1348	2056
396	1351	2052
397	1354	2048
398	1356	2043
399	1359	2039
400	1362	2035
401	1365	2031
402	1369	2028
403	1372	2024
404	1375	2020
405	1377	2015
406	1381	2012
407	1383	2008
408	1387	2004
409	1390	2000
410	1392	1995
411	1395	1992
412	1397	1986
413	1400	1983
414	1403	1978
415	1406	1974
416	1409	1970
417	1412	1966
418	1415	1962
419	1418	1958
420	1421	1955
421	1425	1953
422	1432	1954
423	1438	1954
424	1445	1955
425	1447	1949
426	1450	1946
427	1454	1943
428	1458	1940
429	1460	1936
430	1464	1933
431	1466	1927
